,density,shape,sizeBin
min,850.0,1.0,1.0
max,1600.0,3.9999,5.9999
,density,shape,sizeBin
1,851.0986328125,2.129356884765625,3.238724755859375
2,1215.1123046875,2.129356884765625,3.238724755859375
3,851.0986328125,2.6713310058593747,3.238724755859375
4,851.0986328125,2.129356884765625,5.221106982421875
5,851.0986328125,2.6713310058593747,5.221106982421875
6,1215.1123046875,2.129356884765625,5.221106982421875
7,1215.1123046875,2.6713310058593747,3.238724755859375
8,1215.1123046875,2.6713310058593747,5.221106982421875
9,1226.0986328125,3.629306884765625,5.738674755859376
10,1590.1123046875,3.629306884765625,5.738674755859376
11,1226.0986328125,1.171381005859375,5.738674755859376
12,1226.0986328125,3.629306884765625,2.721156982421875
13,1226.0986328125,1.171381005859375,2.721156982421875
14,1590.1123046875,3.629306884765625,2.721156982421875
15,1590.1123046875,1.171381005859375,5.738674755859376
16,1590.1123046875,1.171381005859375,2.721156982421875
17,1413.5986328125,1.379381884765625,1.988749755859375
18,1027.6123046875,1.379381884765625,1.988749755859375
19,1413.5986328125,1.921356005859375,1.988749755859375
20,1413.5986328125,1.379381884765625,1.471181982421875
21,1413.5986328125,1.921356005859375,1.471181982421875
22,1027.6123046875,1.379381884765625,1.471181982421875
23,1027.6123046875,1.921356005859375,1.988749755859375
24,1027.6123046875,1.921356005859375,1.471181982421875
25,1038.5986328125,2.879331884765625,4.4886997558593755
26,1402.6123046875,2.879331884765625,4.4886997558593755
27,1038.5986328125,3.4213060058593747,4.4886997558593755
28,1038.5986328125,2.879331884765625,3.971131982421875
29,1038.5986328125,3.4213060058593747,3.971131982421875
30,1402.6123046875,2.879331884765625,3.971131982421875
31,1402.6123046875,3.4213060058593747,4.4886997558593755
32,1402.6123046875,3.4213060058593747,3.971131982421875
33,1132.3486328125,1.004394384765625,5.113687255859375
34,1308.8623046875,1.004394384765625,5.113687255859375
35,1132.3486328125,3.7962935058593748,5.113687255859375
36,1132.3486328125,1.004394384765625,5.846094482421875
37,1132.3486328125,3.7962935058593748,5.846094482421875
38,1308.8623046875,1.004394384765625,5.846094482421875
39,1308.8623046875,3.7962935058593748,5.113687255859375
40,1308.8623046875,3.7962935058593748,5.846094482421875
41,1507.3486328125,2.504344384765625,2.613737255859375
42,933.8623046875,2.504344384765625,2.613737255859375
43,1507.3486328125,2.296343505859375,2.613737255859375
44,1507.3486328125,2.504344384765625,3.346144482421875
45,1507.3486328125,2.296343505859375,3.346144482421875
46,933.8623046875,2.504344384765625,3.346144482421875
47,933.8623046875,2.296343505859375,2.613737255859375
48,933.8623046875,2.296343505859375,3.346144482421875
49,1319.8486328125,1.754369384765625,3.863712255859375
50,1496.3623046875,1.754369384765625,3.863712255859375
51,1319.8486328125,1.546368505859375,3.863712255859375
52,1319.8486328125,1.754369384765625,2.096169482421875
53,1319.8486328125,1.546368505859375,2.096169482421875
54,1496.3623046875,1.754369384765625,2.096169482421875
55,1496.3623046875,1.546368505859375,3.863712255859375
56,1496.3623046875,1.546368505859375,2.096169482421875
57,944.8486328125,3.254319384765625,1.363762255859375
58,1121.3623046875,3.254319384765625,1.363762255859375
59,944.8486328125,3.0463185058593747,1.363762255859375
60,944.8486328125,3.254319384765625,4.596119482421875
61,944.8486328125,3.0463185058593747,4.596119482421875
62,1121.3623046875,3.254319384765625,4.596119482421875
63,1121.3623046875,3.0463185058593747,1.363762255859375
64,1121.3623046875,3.0463185058593747,4.596119482421875
65,991.7236328125,1.566875634765625,3.5512185058593753
66,886.9873046875,1.566875634765625,3.5512185058593753
67,991.7236328125,1.358874755859375,3.5512185058593753
68,991.7236328125,1.566875634765625,3.658638232421875
69,991.7236328125,1.358874755859375,3.658638232421875
70,886.9873046875,1.566875634765625,3.658638232421875
71,886.9873046875,1.358874755859375,3.5512185058593753
72,886.9873046875,1.358874755859375,3.658638232421875
73,1366.7236328125,3.0668256347656246,1.051268505859375
74,1261.9873046875,3.0668256347656246,1.051268505859375
75,1366.7236328125,2.858824755859375,1.051268505859375
76,1366.7236328125,3.0668256347656246,1.158688232421875
77,1366.7236328125,2.858824755859375,1.158688232421875
78,1261.9873046875,3.0668256347656246,1.158688232421875
79,1261.9873046875,2.858824755859375,1.051268505859375
80,1261.9873046875,2.858824755859375,1.158688232421875
81,1554.2236328125,2.3168506347656246,4.801193505859375
82,1074.4873046875,2.3168506347656246,4.801193505859375
83,1554.2236328125,3.608799755859375,4.801193505859375
84,1554.2236328125,2.3168506347656246,2.4086632324218753
85,1554.2236328125,3.608799755859375,2.4086632324218753
86,1074.4873046875,2.3168506347656246,2.4086632324218753
87,1074.4873046875,3.608799755859375,4.801193505859375
88,1074.4873046875,3.608799755859375,2.4086632324218753
89,1179.2236328125,3.8168006347656247,2.301243505859375
90,1449.4873046875,3.8168006347656247,2.301243505859375
91,1179.2236328125,2.108849755859375,2.301243505859375
92,1179.2236328125,3.8168006347656247,4.9086132324218745
93,1179.2236328125,2.108849755859375,4.9086132324218745
94,1449.4873046875,3.8168006347656247,4.9086132324218745
95,1449.4873046875,2.108849755859375,2.301243505859375
96,1449.4873046875,2.108849755859375,4.9086132324218745
97,1085.4736328125,1.941863134765625,1.6762560058593752
98,1543.2373046875,1.941863134765625,1.6762560058593752
99,1085.4736328125,2.483837255859375,1.6762560058593752
